"","realprice1","realprice2","realprice3","realprice4","br1","br2","br3","br4","residual.price.1","residual.price.2","residual.price.3","residual.price.4","min.dist.honda","min.dist.nissan","min.dist.toyota","min.dist.vw","DIST10.honda","DIST10.nissan","DIST10.toyota","DIST10.vw","TRADEMANUFACTURER","TRADENAME","TRADEMODEL","TRADEORIGIN","TRADEBODYTP","TRADECYLINDER","CUSTLATITUDE","CUSTLONGITUDE","ZIPCODE","brand"
"2053",9.908475094,9.9965224185,9.9007742705,10.1309224423814,1,0,0,0,-0.647496196214554,1.06745915301023,-0.0679657340800962,0.954130838286938,6.52965803694138,6.41804686843701,7.77959942377245,9.16153356333716,24.379392328863,103.071954399664,103.033844174042,102.553001227162,"Honda","Honda","Civic","Asian","Coupe","4 Cyl",33.939771,-118.204879,90280,2
"2054",9.908475094,9.9965224185,9.9007742705,10.1309224423814,0,0,0,0,-0.647496196214554,1.06745915301023,-0.0679657340800962,0.954130838286938,8.40117048936117,11.6392259091788,10.1341885887374,7.59110089803923,43.3410104693883,120.988950111905,129.912967314441,129.304721020686,"Bavarian Motor Works","BMW","325IT","European","Wagon","6 Cyl",34.290691,-118.436377,91340,1
"2090",9.89071497370794,9.9727666615,9.916156956,10.0929147587832,0,1,0,0,-0.3587902142794,-0.231437833951801,0.0941308389936145,-0.0302538005719196,3.95330623703126,7.15873845855513,10.1128115131254,7.29721469705638,37.6555870289875,96.8128959316304,97.1473841760767,85.360851474979,"Nissan","Nissan","Sentra","Asian","Sedan","4 Cyl",33.72257,-118.039134,92649,3
"2091",9.89071497370794,9.9727666615,9.916156956,10.0929147587832,0,1,0,0,-0.3587902142794,-0.231437833951801,0.0941308389936145,-0.0302538005719196,4.69536414362555,4.04605490082673,9.37414778050121,14.0558278946374,31.9222568714481,105.548588036871,111.744073720987,111.084210133261,"Nissan","Nissan","Altima","Asian","Sedan","4 Cyl",34.089506,-118.212081,90065,2
"2092",9.89071497370794,9.9727666615,9.916156956,10.0929147587832,0,0,0,0,-0.3587902142794,-0.231437833951801,0.0941308389936145,-0.0302538005719196,5.18340045986065,5.04773228504212,5.87505318300658,8.44584455618045,23.3876739490853,103.169548149661,101.359661676183,100.939705224461,"Ford","Ford","Mustang","Domestic","Coupe","6 Cyl",33.904582,-118.213401,90221,3
"2093",9.89071497370794,9.9727666615,9.916156956,10.0929147587832,0,0,1,0,-0.3587902142794,-0.231437833951801,0.0941308389936145,-0.0302538005719196,8.77192145873158,9.9881664694759,6.75899207607137,11.4858074358015,22.7030700050609,99.9352675523546,102.10840932235,101.513443313888,"Toyota","Toyota","Matrix","Asian","Wagon","4 Cyl",33.958214,-118.140876,90241,3
"2094",9.89071497370794,9.9727666615,9.916156956,10.0929147587832,0,0,1,0,-0.3587902142794,-0.231437833951801,0.0941308389936145,-0.0302538005719196,11.8559258085952,15.3352290234794,3.00800311710887,3.96168739954234,29.8303265857243,89.3085772142508,100.104516351626,99.0969930438156,"Toyota","Toyota","Camry","Asian","Sedan","4 Cyl",34.027138,-117.916604,91792,3
"2101",9.92329018,9.95227771658705,9.9116276795,10.0592589411978,1,0,0,0,-0.283930593676312,0.103945471239884,0.153125239822142,0.600595126388675,2.61204757672448,6.99495331884456,2.69321095277773,3.98859299889295,26.9280059603703,101.896170401682,96.8481709623169,96.5202031561561,"Honda","Honda","Civic","Asian","Sedan","4 Cyl",33.829785,-118.199769,90807,1
"2102",9.92329018,9.95227771658705,9.9116276795,10.0592589411978,0,0,1,0,-0.283930593676312,0.103945471239884,0.153125239822142,0.600595126388675,4.65427747998066,6.49371923711499,4.64909170073082,5.96912534437209,24.8383633828162,101.460451604022,98.6807796532579,98.2702206550283,"Toyota","Toyota","Corolla","Asian","Sedan","4 Cyl",33.871749,-118.186165,90805,3
"2103",9.92329018,9.95227771658705,9.9116276795,10.0592589411978,1,0,0,0,-0.283930593676312,0.103945471239884,0.153125239822142,0.600595126388675,15.0015968582816,6.4736498286881,7.20320945664481,29.5848021913131,46.0120198809564,99.5726837451496,99.844212077873,68.8380922016359,"Honda","Honda","Accord","Asian","Sedan","4 Cyl",33.543208,-117.68859,92677,1
